"country","year","num_cases","num_deaths","region"
"Argentina",2017,0,1,"Americas"
"Belize",2017,7,0,"Americas"
"Bolivia (Plurinational State of)",2017,4572,0,"Americas"
"Brazil",2017,189503,30,"Americas"
"Colombia",2017,52805,19,"Americas"
"Congo",2017,127939,229,"Americas"
"Costa Rica",2017,12,0,"Americas"
"Dominican Republic",2017,341,1,"Americas"
"Ecuador",2017,1275,1,"Americas"
"El Salvador",2017,0,0,"Americas"
"Guatemala",2017,3743,0,"Americas"
"Guyana",2017,13936,11,"Americas"
"Haiti",2017,19135,12,"Americas"
"Honduras",2017,1277,1,"Americas"
"Mexico",2017,736,0,"Americas"
"Nicaragua",2017,10949,NA,"Americas"
"Panama",2017,649,0,"Americas"
"Paraguay",2017,0,0,"Americas"
"Peru",2017,55367,10,"Americas"
"Suriname",2017,40,1,"Americas"
"Venezuela (Bolivarian Republic of)",2017,411586,NA,"Americas"
"Argentina",2016,0,0,"Americas"
"Belize",2016,4,0,"Americas"
"Bolivia (Plurinational State of)",2016,5542,0,"Americas"
"Brazil",2016,124178,35,"Americas"
"Colombia",2016,82609,36,"Americas"
"Congo",2016,171847,733,"Americas"
"Costa Rica",2016,4,0,"Americas"
"Dominican Republic",2016,690,2,"Americas"
"Ecuador",2016,1191,0,"Americas"
"El Salvador",2016,12,0,"Americas"
"Guatemala",2016,4853,0,"Americas"
"Guyana",2016,12367,13,"Americas"
"Haiti",2016,21430,13,"Americas"
"Honduras",2016,4094,0,"Americas"
"Mexico",2016,551,1,"Americas"
"Nicaragua",2016,6272,2,"Americas"
"Panama",2016,769,0,"Americas"
"Paraguay",2016,0,1,"Americas"
"Peru",2016,56623,7,"Americas"
"Suriname",2016,76,0,"Americas"
"Venezuela (Bolivarian Republic of)",2016,240613,1,"Americas"
"Argentina",2015,0,0,"Americas"
"Belize",2015,9,0,"Americas"
"Bolivia (Plurinational State of)",2015,6874,0,"Americas"
"Brazil",2015,138229,35,"Americas"
