"","country","year","num_cases","num_deaths","region"
"1","Afghanistan",2017,161778,10,"Eastern Mediterranean"
"2","Djibouti",2017,14671,NA,"Eastern Mediterranean"
"3","Egypt",2017,0,NA,"Eastern Mediterranean"
"4","Iran (Islamic Republic of)",2017,57,1,"Eastern Mediterranean"
"5","Iraq",2017,0,NA,"Eastern Mediterranean"
"6","Morocco",2017,0,NA,"Eastern Mediterranean"
"7","Oman",2017,0,NA,"Eastern Mediterranean"
"8","Pakistan",2017,350467,113,"Eastern Mediterranean"
"9","Saudi Arabia",2017,177,0,"Eastern Mediterranean"
"10","Somalia",2017,35138,20,"Eastern Mediterranean"
"11","Sudan",2017,720879,1446,"Eastern Mediterranean"
"12","Syrian Arab Republic",2017,0,NA,"Eastern Mediterranean"
"13","United Arab Emirates",2017,0,NA,"Eastern Mediterranean"
"14","Yemen",2017,114004,37,"Eastern Mediterranean"
"15","Afghanistan",2016,139087,47,"Eastern Mediterranean"
"16","Djibouti",2016,13804,5,"Eastern Mediterranean"
"17","Egypt",2016,0,NA,"Eastern Mediterranean"
"18","Iran (Islamic Republic of)",2016,81,0,"Eastern Mediterranean"
"19","Iraq",2016,0,NA,"Eastern Mediterranean"
"20","Morocco",2016,0,NA,"Eastern Mediterranean"
"21","Oman",2016,0,NA,"Eastern Mediterranean"
"22","Pakistan",2016,318449,33,"Eastern Mediterranean"
"23","Saudi Arabia",2016,272,0,"Eastern Mediterranean"
"24","Somalia",2016,35628,13,"Eastern Mediterranean"
"25","Sudan",2016,575015,984,"Eastern Mediterranean"
"26","Syrian Arab Republic",2016,0,NA,"Eastern Mediterranean"
"27","United Arab Emirates",2016,0,NA,"Eastern Mediterranean"
"28","Yemen",2016,98701,65,"Eastern Mediterranean"
"29","Afghanistan",2015,86895,49,"Eastern Mediterranean"
"30","Djibouti",2015,9473,23,"Eastern Mediterranean"
"31","Egypt",2015,0,NA,"Eastern Mediterranean"
"32","Iran (Islamic Republic of)",2015,167,1,"Eastern Mediterranean"
"33","Iraq",2015,0,NA,"Eastern Mediterranean"
"34","Morocco",2015,0,NA,"Eastern Mediterranean"
"35","Oman",2015,0,NA,"Eastern Mediterranean"
"36","Pakistan",2015,202013,34,"Eastern Mediterranean"
"37","Saudi Arabia",2015,83,0,"Eastern Mediterranean"
"38","Somalia",2015,20953,27,"Eastern Mediterranean"
"39","Sudan",2015,586827,868,"Eastern Mediterranean"
"40","Syrian Arab Republic",2015,0,NA,"Eastern Mediterranean"
"41","United Arab Emirates",2015,0,NA,"Eastern Mediterranean"
"42","Yemen",2015,76259,14,"Eastern Mediterranean"
"43","Afghanistan",2014,61362,32,"Eastern Mediterranean"
"44","Djibouti",2014,9439,28,"Eastern Mediterranean"
"45","Egypt",2014,22,NA,"Eastern Mediterranean"
"46","Iran (Islamic Republic of)",2014,358,0,"Eastern Mediterranean"
"47","Iraq",2014,0,0,"Eastern Mediterranean"
"48","Morocco",2014,0,NA,"Eastern Mediterranean"
"49","Oman",2014,0,0,"Eastern Mediterranean"
