"country","year","num_cases","num_deaths","region"
"Afghanistan",2017,161778,10,"Eastern Mediterranean"
"Djibouti",2017,14671,NA,"Eastern Mediterranean"
"Egypt",2017,0,NA,"Eastern Mediterranean"
"Iran (Islamic Republic of)",2017,57,1,"Eastern Mediterranean"
"Iraq",2017,0,NA,"Eastern Mediterranean"
"Morocco",2017,0,NA,"Eastern Mediterranean"
"Oman",2017,0,NA,"Eastern Mediterranean"
"Pakistan",2017,350467,113,"Eastern Mediterranean"
"Saudi Arabia",2017,177,0,"Eastern Mediterranean"
"Somalia",2017,35138,20,"Eastern Mediterranean"
"Sudan",2017,720879,1446,"Eastern Mediterranean"
"Syrian Arab Republic",2017,0,NA,"Eastern Mediterranean"
"United Arab Emirates",2017,0,NA,"Eastern Mediterranean"
"Yemen",2017,114004,37,"Eastern Mediterranean"
"Afghanistan",2016,139087,47,"Eastern Mediterranean"
"Djibouti",2016,13804,5,"Eastern Mediterranean"
"Egypt",2016,0,NA,"Eastern Mediterranean"
"Iran (Islamic Republic of)",2016,81,0,"Eastern Mediterranean"
"Iraq",2016,0,NA,"Eastern Mediterranean"
"Morocco",2016,0,NA,"Eastern Mediterranean"
"Oman",2016,0,NA,"Eastern Mediterranean"
"Pakistan",2016,318449,33,"Eastern Mediterranean"
"Saudi Arabia",2016,272,0,"Eastern Mediterranean"
"Somalia",2016,35628,13,"Eastern Mediterranean"
"Sudan",2016,575015,984,"Eastern Mediterranean"
"Syrian Arab Republic",2016,0,NA,"Eastern Mediterranean"
"United Arab Emirates",2016,0,NA,"Eastern Mediterranean"
"Yemen",2016,98701,65,"Eastern Mediterranean"
"Afghanistan",2015,86895,49,"Eastern Mediterranean"
"Djibouti",2015,9473,23,"Eastern Mediterranean"
"Egypt",2015,0,NA,"Eastern Mediterranean"
"Iran (Islamic Republic of)",2015,167,1,"Eastern Mediterranean"
"Iraq",2015,0,NA,"Eastern Mediterranean"
"Morocco",2015,0,NA,"Eastern Mediterranean"
"Oman",2015,0,NA,"Eastern Mediterranean"
"Pakistan",2015,202013,34,"Eastern Mediterranean"
"Saudi Arabia",2015,83,0,"Eastern Mediterranean"
"Somalia",2015,20953,27,"Eastern Mediterranean"
"Sudan",2015,586827,868,"Eastern Mediterranean"
"Syrian Arab Republic",2015,0,NA,"Eastern Mediterranean"
"United Arab Emirates",2015,0,NA,"Eastern Mediterranean"
"Yemen",2015,76259,14,"Eastern Mediterranean"
"Afghanistan",2014,61362,32,"Eastern Mediterranean"
"Djibouti",2014,9439,28,"Eastern Mediterranean"
"Egypt",2014,22,NA,"Eastern Mediterranean"
"Iran (Islamic Republic of)",2014,358,0,"Eastern Mediterranean"
"Iraq",2014,0,0,"Eastern Mediterranean"
"Morocco",2014,0,NA,"Eastern Mediterranean"
"Oman",2014,0,0,"Eastern Mediterranean"
"Pakistan",2014,275149,56,"Eastern Mediterranean"
"Saudi Arabia",2014,30,0,"Eastern Mediterranean"
"Somalia",2014,11001,14,"Eastern Mediterranean"
"Sudan",2014,1068506,823,"Eastern Mediterranean"
"Syrian Arab Republic",2014,0,4,"Eastern Mediterranean"
"United Arab Emirates",2014,0,NA,"Eastern Mediterranean"
"Yemen",2014,86707,23,"Eastern Mediterranean"
"Afghanistan",2013,39263,24,"Eastern Mediterranean"
"Djibouti",2013,1684,17,"Eastern Mediterranean"
"Egypt",2013,0,NA,"Eastern Mediterranean"
"Iran (Islamic Republic of)",2013,479,0,"Eastern Mediterranean"
"Iraq",2013,0,0,"Eastern Mediterranean"
"Morocco",2013,0,0,"Eastern Mediterranean"
"Oman",2013,0,0,"Eastern Mediterranean"
"Pakistan",2013,281755,244,"Eastern Mediterranean"
