"country","year","num_cases","num_deaths","region"
"Bangladesh",2017,4893,13,"South-East Asia"
"Bhutan",2017,24,1,"South-East Asia"
"India",2017,844558,194,"South-East Asia"
"Indonesia",2017,261617,47,"South-East Asia"
"Myanmar",2017,19619,30,"South-East Asia"
"Nepal",2017,623,3,"South-East Asia"
"Sri Lanka",2017,0,0,"South-East Asia"
"Thailand",2017,11440,11,"South-East Asia"
"Timor-Leste",2017,16,0,"South-East Asia"
"Bangladesh",2016,4787,17,"South-East Asia"
"Bhutan",2016,15,0,"South-East Asia"
"India",2016,1087285,331,"South-East Asia"
"Indonesia",2016,218450,161,"South-East Asia"
"Myanmar",2016,110146,21,"South-East Asia"
"Nepal",2016,507,3,"South-East Asia"
"Sri Lanka",2016,0,0,"South-East Asia"
"Thailand",2016,11522,27,"South-East Asia"
"Timor-Leste",2016,94,0,"South-East Asia"
"Bangladesh",2015,6608,9,"South-East Asia"
"Bhutan",2015,34,0,"South-East Asia"
"India",2015,1169261,384,"South-East Asia"
"Indonesia",2015,217025,157,"South-East Asia"
"Myanmar",2015,182768,37,"South-East Asia"
"Nepal",2015,591,0,"South-East Asia"
"Sri Lanka",2015,0,0,"South-East Asia"
"Thailand",2015,8022,33,"South-East Asia"
"Timor-Leste",2015,80,0,"South-East Asia"
"Bangladesh",2014,10216,45,"South-East Asia"
"Bhutan",2014,19,0,"South-East Asia"
"India",2014,1102205,562,"South-East Asia"
"Indonesia",2014,252027,217,"South-East Asia"
"Myanmar",2014,205658,92,"South-East Asia"
"Nepal",2014,832,0,"South-East Asia"
"Sri Lanka",2014,0,0,"South-East Asia"
"Thailand",2014,37921,38,"South-East Asia"
"Timor-Leste",2014,342,1,"South-East Asia"
"Bangladesh",2013,3864,15,"South-East Asia"
"Bhutan",2013,15,0,"South-East Asia"
"India",2013,881730,440,"South-East Asia"
"Indonesia",2013,343527,385,"South-East Asia"
"Myanmar",2013,333871,236,"South-East Asia"
"Nepal",2013,1974,0,"South-East Asia"
"Sri Lanka",2013,0,0,"South-East Asia"
"Thailand",2013,33302,47,"South-East Asia"
"Timor-Leste",2013,1025,3,"South-East Asia"
"Bangladesh",2012,9901,11,"South-East Asia"
"Bhutan",2012,NA,1,"South-East Asia"
"India",2012,1067824,519,"South-East Asia"
"Indonesia",2012,417819,252,"South-East Asia"
"Myanmar",2012,480586,403,"South-East Asia"
"Nepal",2012,2092,0,"South-East Asia"
"Sri Lanka",2012,23,0,"South-East Asia"
"Thailand",2012,32569,37,"South-East Asia"
"Timor-Leste",2012,5211,3,"South-East Asia"
"Bangladesh",2011,51773,36,"South-East Asia"
"Bhutan",2011,194,1,"South-East Asia"
"India",2011,1310656,754,"South-East Asia"
"Indonesia",2011,422447,388,"South-East Asia"
"Myanmar",2011,465294,581,"South-East Asia"
"Nepal",2011,3414,2,"South-East Asia"
"Sri Lanka",2011,124,0,"South-East Asia"
"Thailand",2011,24897,43,"South-East Asia"
"Timor-Leste",2011,19739,16,"South-East Asia"
"Bangladesh",2010,55873,37,"South-East Asia"
"Bhutan",2010,436,2,"South-East Asia"
"India",2010,1599986,1018,"South-East Asia"
"Indonesia",2010,465764,432,"South-East Asia"
"Myanmar",2010,420808,788,"South-East Asia"
"Nepal",2010,3894,6,"South-East Asia"
"Sri Lanka",2010,684,0,"South-East Asia"
"Thailand",2010,32480,80,"South-East Asia"
"Timor-Leste",2010,48137,58,"South-East Asia"
"Bangladesh",2009,63873,47,"South-East Asia"
"Bhutan",2009,972,4,"South-East Asia"
"India",2009,1563574,1144,"South-East Asia"
"Indonesia",2009,272491,900,"South-East Asia"
"Myanmar",2009,436068,972,"South-East Asia"
"Nepal",2009,3335,8,"South-East Asia"
"Sri Lanka",2009,531,0,"South-East Asia"
"Thailand",2009,29462,70,"South-East Asia"
"Timor-Leste",2009,47527,53,"South-East Asia"
"Bangladesh",2008,84690,154,"South-East Asia"
"Bhutan",2008,329,2,"South-East Asia"
"India",2008,1532497,1055,"South-East Asia"
"Indonesia",2008,349231,669,"South-East Asia"
"Myanmar",2008,447073,1087,"South-East Asia"
"Nepal",2008,3888,NA,"South-East Asia"
"Sri Lanka",2008,649,0,"South-East Asia"
"Thailand",2008,28569,101,"South-East Asia"
"Timor-Leste",2008,51260,33,"South-East Asia"
"Bangladesh",2007,59866,228,"South-East Asia"
"Bhutan",2007,793,2,"South-East Asia"
"India",2007,1508927,1311,"South-East Asia"
"Indonesia",2007,311789,NA,"South-East Asia"
"Myanmar",2007,373958,1261,"South-East Asia"
"Nepal",2007,5621,3,"South-East Asia"
"Sri Lanka",2007,198,1,"South-East Asia"
"Thailand",2007,33178,97,"South-East Asia"
"Timor-Leste",2007,52813,60,"South-East Asia"
"Bangladesh",2006,32857,508,"South-East Asia"
"Bhutan",2006,1868,7,"South-East Asia"
"India",2006,1785109,1708,"South-East Asia"
"Indonesia",2006,347597,494,"South-East Asia"
"Myanmar",2006,203071,1647,"South-East Asia"
"Nepal",2006,4969,42,"South-East Asia"
"Sri Lanka",2006,591,1,"South-East Asia"
"Thailand",2006,30294,113,"South-East Asia"
"Timor-Leste",2006,37896,68,"South-East Asia"
"Bangladesh",2005,48121,501,"South-East Asia"
"Bhutan",2005,1825,5,"South-East Asia"
"India",2005,1816569,963,"South-East Asia"
"Indonesia",2005,437323,88,"South-East Asia"
"Myanmar",2005,165737,1707,"South-East Asia"
"Nepal",2005,5050,10,"South-East Asia"
"Sri Lanka",2005,1640,0,"South-East Asia"
"Thailand",2005,29782,161,"South-East Asia"
"Timor-Leste",2005,43093,71,"South-East Asia"
"Bangladesh",2004,58894,505,"South-East Asia"
"Bhutan",2004,2670,7,"South-East Asia"
"India",2004,1915363,949,"South-East Asia"
"Indonesia",2004,304936,508,"South-East Asia"
"Myanmar",2004,152070,1982,"South-East Asia"
"Nepal",2004,4895,7,"South-East Asia"
"Sri Lanka",2004,3720,1,"South-East Asia"
"Thailand",2004,26690,230,"South-East Asia"
"Timor-Leste",2004,39164,65,"South-East Asia"
"Bangladesh",2003,54654,574,"South-East Asia"
"Bhutan",2003,3806,14,"South-East Asia"
"India",2003,1869403,1006,"South-East Asia"
"Indonesia",2003,223074,NA,"South-East Asia"
"Myanmar",2003,177530,2476,"South-East Asia"
"Nepal",2003,9506,5,"South-East Asia"
"Sri Lanka",2003,10510,4,"South-East Asia"
"Thailand",2003,37355,204,"South-East Asia"
"Timor-Leste",2003,33411,NA,"South-East Asia"
"Bangladesh",2002,62269,598,"South-East Asia"
"Bhutan",2002,6511,11,"South-East Asia"
"India",2002,1841227,973,"South-East Asia"
"Indonesia",2002,273793,NA,"South-East Asia"
"Myanmar",2002,173096,2634,"South-East Asia"
"Nepal",2002,12750,3,"South-East Asia"
"Sri Lanka",2002,41411,30,"South-East Asia"
"Thailand",2002,44555,361,"South-East Asia"
"Timor-Leste",2002,26651,NA,"South-East Asia"
"Bangladesh",2001,54216,470,"South-East Asia"
"Bhutan",2001,5982,14,"South-East Asia"
"India",2001,2085484,1015,"South-East Asia"
"Indonesia",2001,267592,NA,"South-East Asia"
"Myanmar",2001,170502,2814,"South-East Asia"
"Nepal",2001,6396,1,"South-East Asia"
"Sri Lanka",2001,66522,52,"South-East Asia"
"Thailand",2001,63528,424,"South-East Asia"
"Timor-Leste",2001,NA,NA,"South-East Asia"
"Bangladesh",2000,55599,484,"South-East Asia"
"Bhutan",2000,5935,15,"South-East Asia"
"India",2000,2031790,892,"South-East Asia"
"Indonesia",2000,245612,833,"South-East Asia"
"Myanmar",2000,120083,2556,"South-East Asia"
"Nepal",2000,7981,NA,"South-East Asia"
"Sri Lanka",2000,210039,77,"South-East Asia"
"Thailand",2000,78561,625,"South-East Asia"
"Timor-Leste",2000,15212,NA,"South-East Asia"
