"country","year","num_cases","num_deaths","region"
"Cambodia",2017,36932,1,"Western Pacific"
"China",2017,0,7,"Western Pacific"
"Democratic People's Republic of Korea",2017,4575,0,"Western Pacific"
"Lao People's Democratic Republic",2017,9333,2,"Western Pacific"
"Malaysia",2017,85,12,"Western Pacific"
"Papua New Guinea",2017,478340,273,"Western Pacific"
"Philippines",2017,3950,4,"Western Pacific"
"Republic of Korea",2017,436,3,"Western Pacific"
"Solomon Islands",2017,52463,27,"Western Pacific"
"Vanuatu",2017,1071,0,"Western Pacific"
"Viet Nam",2017,4548,6,"Western Pacific"
"Cambodia",2016,23492,3,"Western Pacific"
"China",2016,3,15,"Western Pacific"
"Democratic People's Republic of Korea",2016,2719,0,"Western Pacific"
"Lao People's Democratic Republic",2016,11223,1,"Western Pacific"
"Malaysia",2016,266,2,"Western Pacific"
"Papua New Guinea",2016,478497,306,"Western Pacific"
"Philippines",2016,6680,7,"Western Pacific"
"Republic of Korea",2016,602,1,"Western Pacific"
"Solomon Islands",2016,54431,20,"Western Pacific"
"Vanuatu",2016,1868,0,"Western Pacific"
"Viet Nam",2016,4161,3,"Western Pacific"
"Cambodia",2015,33930,10,"Western Pacific"
"China",2015,39,20,"Western Pacific"
"Democratic People's Republic of Korea",2015,773,0,"Western Pacific"
"Lao People's Democratic Republic",2015,36056,2,"Western Pacific"
"Malaysia",2015,242,4,"Western Pacific"
"Papua New Guinea",2015,297787,163,"Western Pacific"
"Philippines",2015,8266,20,"Western Pacific"
"Republic of Korea",2015,627,0,"Western Pacific"
"Solomon Islands",2015,23998,13,"Western Pacific"
"Vanuatu",2015,423,0,"Western Pacific"
"Viet Nam",2015,9331,3,"Western Pacific"
"Cambodia",2014,25152,18,"Western Pacific"
"China",2014,56,0,"Western Pacific"
"Democratic People's Republic of Korea",2014,10535,0,"Western Pacific"
"Lao People's Democratic Republic",2014,48071,4,"Western Pacific"
"Malaysia",2014,3147,4,"Western Pacific"
"Papua New Guinea",2014,281182,203,"Western Pacific"
"Philippines",2014,4903,10,"Western Pacific"
"Republic of Korea",2014,557,0,"Western Pacific"
"Solomon Islands",2014,18404,23,"Western Pacific"
"Vanuatu",2014,982,0,"Western Pacific"
"Viet Nam",2014,15752,6,"Western Pacific"
"Cambodia",2013,21309,12,"Western Pacific"
"China",2013,86,0,"Western Pacific"
"Democratic People's Republic of Korea",2013,14407,0,"Western Pacific"
"Lao People's Democratic Republic",2013,38131,28,"Western Pacific"
"Malaysia",2013,2921,10,"Western Pacific"
"Papua New Guinea",2013,279994,307,"Western Pacific"
"Philippines",2013,6514,12,"Western Pacific"
"Republic of Korea",2013,383,0,"Western Pacific"
"Solomon Islands",2013,25609,18,"Western Pacific"
"Vanuatu",2013,2381,0,"Western Pacific"
"Viet Nam",2013,17128,6,"Western Pacific"
"Cambodia",2012,40476,45,"Western Pacific"
"China",2012,244,0,"Western Pacific"
"Democratic People's Republic of Korea",2012,21850,0,"Western Pacific"
"Lao People's Democratic Republic",2012,46202,44,"Western Pacific"
"Malaysia",2012,3662,12,"Western Pacific"
"Papua New Guinea",2012,150195,381,"Western Pacific"
"Philippines",2012,7133,16,"Western Pacific"
"Republic of Korea",2012,394,0,"Western Pacific"
"Solomon Islands",2012,24383,18,"Western Pacific"
"Vanuatu",2012,3435,0,"Western Pacific"
"Viet Nam",2012,19638,8,"Western Pacific"
"Cambodia",2011,57423,94,"Western Pacific"
"China",2011,3367,33,"Western Pacific"
"Democratic People's Republic of Korea",2011,16760,0,"Western Pacific"
"Lao People's Democratic Republic",2011,17532,17,"Western Pacific"
"Malaysia",2011,3954,12,"Western Pacific"
"Papua New Guinea",2011,84060,523,"Western Pacific"
"Philippines",2011,9552,12,"Western Pacific"
"Republic of Korea",2011,505,2,"Western Pacific"
"Solomon Islands",2011,26657,19,"Western Pacific"
"Vanuatu",2011,4820,1,"Western Pacific"
"Viet Nam",2011,16612,14,"Western Pacific"
"Cambodia",2010,49356,151,"Western Pacific"
"China",2010,4990,19,"Western Pacific"
"Democratic People's Republic of Korea",2010,13520,0,"Western Pacific"
"Lao People's Democratic Republic",2010,20800,24,"Western Pacific"
"Malaysia",2010,5194,13,"Western Pacific"
"Papua New Guinea",2010,93956,616,"Western Pacific"
"Philippines",2010,18560,30,"Western Pacific"
"Republic of Korea",2010,1267,1,"Western Pacific"
"Solomon Islands",2010,39704,34,"Western Pacific"
"Vanuatu",2010,8169,1,"Western Pacific"
"Viet Nam",2010,17515,21,"Western Pacific"
"Cambodia",2009,64595,279,"Western Pacific"
"China",2009,9287,10,"Western Pacific"
"Democratic People's Republic of Korea",2009,14632,0,"Western Pacific"
