"country","year","num_cases","num_deaths","region"
"Armenia",2017,0,NA,"Europe"
"Azerbaijan",2017,0,NA,"Europe"
"Georgia",2017,0,NA,"Europe"
"Kazakhstan",2017,0,NA,"Europe"
"Kyrgyzstan",2017,0,NA,"Europe"
"Tajikistan",2017,0,NA,"Europe"
"Turkey",2017,0,NA,"Europe"
"Turkmenistan",2017,0,NA,"Europe"
"Uzbekistan",2017,0,NA,"Europe"
"Armenia",2016,0,0,"Europe"
"Azerbaijan",2016,0,0,"Europe"
"Georgia",2016,0,0,"Europe"
"Kazakhstan",2016,0,NA,"Europe"
"Kyrgyzstan",2016,0,0,"Europe"
"Tajikistan",2016,0,0,"Europe"
"Turkey",2016,0,6,"Europe"
"Turkmenistan",2016,0,0,"Europe"
"Uzbekistan",2016,0,0,"Europe"
"Armenia",2015,0,0,"Europe"
"Azerbaijan",2015,0,0,"Europe"
"Georgia",2015,0,1,"Europe"
"Kazakhstan",2015,0,NA,"Europe"
"Kyrgyzstan",2015,0,0,"Europe"
"Tajikistan",2015,0,0,"Europe"
"Turkey",2015,0,3,"Europe"
"Turkmenistan",2015,0,0,"Europe"
"Uzbekistan",2015,0,0,"Europe"
"Armenia",2014,0,0,"Europe"
"Azerbaijan",2014,0,0,"Europe"
"Georgia",2014,0,0,"Europe"
"Kazakhstan",2014,NA,NA,"Europe"
"Kyrgyzstan",2014,0,0,"Europe"
"Tajikistan",2014,2,0,"Europe"
"Turkey",2014,0,1,"Europe"
"Turkmenistan",2014,0,0,"Europe"
"Uzbekistan",2014,0,0,"Europe"
"Armenia",2013,0,0,"Europe"
"Azerbaijan",2013,0,0,"Europe"
"Georgia",2013,0,0,"Europe"
"Kazakhstan",2013,NA,NA,"Europe"
"Kyrgyzstan",2013,0,0,"Europe"
"Tajikistan",2013,3,0,"Europe"
"Turkey",2013,0,3,"Europe"
"Turkmenistan",2013,NA,0,"Europe"
"Uzbekistan",2013,0,0,"Europe"
"Armenia",2012,0,0,"Europe"
"Azerbaijan",2012,3,0,"Europe"
"Georgia",2012,0,0,"Europe"
"Kazakhstan",2012,NA,NA,"Europe"
"Kyrgyzstan",2012,0,0,"Europe"
"Tajikistan",2012,18,0,"Europe"
"Turkey",2012,0,0,"Europe"
"Turkmenistan",2012,NA,0,"Europe"
"Uzbekistan",2012,0,0,"Europe"
"Armenia",2011,0,0,"Europe"
"Azerbaijan",2011,4,0,"Europe"
"Georgia",2011,0,0,"Europe"
"Kazakhstan",2011,NA,NA,"Europe"
"Kyrgyzstan",2011,0,1,"Europe"
"Tajikistan",2011,65,0,"Europe"
"Turkey",2011,0,4,"Europe"
"Turkmenistan",2011,NA,0,"Europe"
"Uzbekistan",2011,0,0,"Europe"
"Armenia",2010,0,0,"Europe"
"Azerbaijan",2010,50,0,"Europe"
"Georgia",2010,0,0,"Europe"
"Kazakhstan",2010,NA,NA,"Europe"
"Kyrgyzstan",2010,3,0,"Europe"
"Tajikistan",2010,111,0,"Europe"
"Turkey",2010,0,0,"Europe"
"Turkmenistan",2010,0,0,"Europe"
"Uzbekistan",2010,3,0,"Europe"
"Armenia",2009,0,0,"Europe"
"Azerbaijan",2009,78,0,"Europe"
"Georgia",2009,1,0,"Europe"
"Kazakhstan",2009,NA,NA,"Europe"
"Kyrgyzstan",2009,4,0,"Europe"
"Tajikistan",2009,164,0,"Europe"
"Turkey",2009,38,1,"Europe"
"Turkmenistan",2009,0,0,"Europe"
"Uzbekistan",2009,0,0,"Europe"
"Armenia",2008,0,0,"Europe"
"Azerbaijan",2008,72,0,"Europe"
"Georgia",2008,6,0,"Europe"
"Kazakhstan",2008,NA,NA,"Europe"
"Kyrgyzstan",2008,18,0,"Europe"
"Tajikistan",2008,318,0,"Europe"
"Turkey",2008,166,3,"Europe"
"Turkmenistan",2008,0,0,"Europe"
"Uzbekistan",2008,7,0,"Europe"
"Armenia",2007,0,0,"Europe"
"Azerbaijan",2007,108,0,"Europe"
"Georgia",2007,24,0,"Europe"
"Kazakhstan",2007,NA,NA,"Europe"
"Kyrgyzstan",2007,96,0,"Europe"
"Tajikistan",2007,635,0,"Europe"
"Turkey",2007,313,1,"Europe"
"Turkmenistan",2007,0,0,"Europe"
"Uzbekistan",2007,30,1,"Europe"
"Armenia",2006,0,0,"Europe"
"Azerbaijan",2006,143,0,"Europe"
"Georgia",2006,59,0,"Europe"
"Kazakhstan",2006,NA,NA,"Europe"
"Kyrgyzstan",2006,317,0,"Europe"
"Tajikistan",2006,1344,0,"Europe"
"Turkey",2006,796,0,"Europe"
"Turkmenistan",2006,1,0,"Europe"
"Uzbekistan",2006,73,0,"Europe"
"Armenia",2005,7,0,"Europe"
"Azerbaijan",2005,242,0,"Europe"
"Georgia",2005,155,0,"Europe"
"Kazakhstan",2005,NA,NA,"Europe"
"Kyrgyzstan",2005,226,0,"Europe"
"Tajikistan",2005,2309,0,"Europe"
"Turkey",2005,2084,0,"Europe"
"Turkmenistan",2005,1,0,"Europe"
"Uzbekistan",2005,102,0,"Europe"
"Armenia",2004,47,0,"Europe"
"Azerbaijan",2004,386,0,"Europe"
"Georgia",2004,257,0,"Europe"
"Kazakhstan",2004,NA,NA,"Europe"
"Kyrgyzstan",2004,93,0,"Europe"
"Tajikistan",2004,3588,0,"Europe"
"Turkey",2004,5302,0,"Europe"
"Turkmenistan",2004,3,0,"Europe"
"Uzbekistan",2004,66,0,"Europe"
"Armenia",2003,29,0,"Europe"
"Azerbaijan",2003,482,0,"Europe"
"Georgia",2003,316,0,"Europe"
"Kazakhstan",2003,NA,NA,"Europe"
"Kyrgyzstan",2003,468,0,"Europe"
"Tajikistan",2003,5428,0,"Europe"
"Turkey",2003,9222,0,"Europe"
"Turkmenistan",2003,7,0,"Europe"
"Uzbekistan",2003,74,0,"Europe"
"Armenia",2002,52,0,"Europe"
"Azerbaijan",2002,506,0,"Europe"
"Georgia",2002,474,0,"Europe"
"Kazakhstan",2002,NA,NA,"Europe"
"Kyrgyzstan",2002,2743,0,"Europe"
"Tajikistan",2002,6160,0,"Europe"
"Turkey",2002,10224,0,"Europe"
"Turkmenistan",2002,18,0,"Europe"
"Uzbekistan",2002,74,0,"Europe"
"Armenia",2001,79,0,"Europe"
"Azerbaijan",2001,1058,0,"Europe"
"Georgia",2001,438,0,"Europe"
"Kazakhstan",2001,NA,NA,"Europe"
"Kyrgyzstan",2001,28,0,"Europe"
"Tajikistan",2001,11387,0,"Europe"
"Turkey",2001,10812,0,"Europe"
"Turkmenistan",2001,8,0,"Europe"
"Uzbekistan",2001,77,0,"Europe"
"Armenia",2000,141,0,"Europe"
"Azerbaijan",2000,1526,0,"Europe"
"Georgia",2000,245,0,"Europe"
"Kazakhstan",2000,NA,NA,"Europe"
"Kyrgyzstan",2000,12,0,"Europe"
"Tajikistan",2000,19064,0,"Europe"
"Turkey",2000,11432,0,"Europe"
"Turkmenistan",2000,24,0,"Europe"
"Uzbekistan",2000,126,0,"Europe"
