Eastern Mediterranean Region,Afghanistan
European Region,Albania
African Region,Algeria
European Region,Andorra
African Region,Angola
Region of the Americas,Antigua and Barbuda
Region of the Americas,Argentina
European Region,Armenia
Western Pacific Region,Australia
European Region,Austria
European Region,Azerbaijan
Region of the Americas,Bahamas
Eastern Mediterranean Region,Bahrain
South-East Asia Region,Bangladesh
Region of the Americas,Barbados
European Region,Belarus
European Region,Belgium
Region of the Americas,Belize
African Region,Benin
South-East Asia Region,Bhutan
Region of the Americas,Bolivia (Plurinational State of)
European Region,Bosnia and Herzegovina
African Region,Botswana
Region of the Americas,Brazil
Western Pacific Region,Brunei Darussalam
European Region,Bulgaria
African Region,Burkina Faso
African Region,Burundi
African Region,Cabo Verde
Western Pacific Region,Cambodia
African Region,Cameroon
Region of the Americas,Canada
African Region,Central African Republic
African Region,Chad
Region of the Americas,Chile
Western Pacific Region,China
Region of the Americas,Colombia
African Region,Comoros
African Region,Congo
Western Pacific Region,Cook Islands
Region of the Americas,Costa Rica
African Region,Cote d'Ivoire
European Region,Croatia
Region of the Americas,Cuba
European Region,Cyprus
European Region,Czechia
South-East Asia Region,Democratic People's Republic of Korea
African Region,Democratic Republic of the Congo
European Region,Denmark
Eastern Mediterranean Region,Djibouti
Region of the Americas,Dominica
Region of the Americas,Dominican Republic
Region of the Americas,Ecuador
Eastern Mediterranean Region,Egypt
Region of the Americas,El Salvador
African Region,Equatorial Guinea
African Region,Eritrea
European Region,Estonia
African Region,Eswatini
African Region,Ethiopia
Western Pacific Region,Fiji
European Region,Finland
European Region,France
African Region,Gabon
African Region,Gambia
European Region,Georgia
European Region,Germany
African Region,Ghana
European Region,Greece
Region of the Americas,Grenada
Region of the Americas,Guatemala
African Region,Guinea
African Region,Guinea-Bissau
Region of the Americas,Guyana
Region of the Americas,Haiti
Region of the Americas,Honduras
European Region,Hungary
European Region,Iceland
South-East Asia Region,India
South-East Asia Region,Indonesia
Eastern Mediterranean Region,Iran (Islamic Republic of)
Eastern Mediterranean Region,Iraq
European Region,Ireland
European Region,Israel
European Region,Italy
Region of the Americas,Jamaica
Western Pacific Region,Japan
Eastern Mediterranean Region,Jordan
European Region,Kazakhstan
African Region,Kenya
Western Pacific Region,Kiribati
Eastern Mediterranean Region,Kuwait
European Region,Kyrgyzstan
Western Pacific Region,Lao People's Democratic Republic
European Region,Latvia
Eastern Mediterranean Region,Lebanon
African Region,Lesotho
African Region,Liberia
Eastern Mediterranean Region,Libya
European Region,Lithuania
European Region,Luxembourg
African Region,Madagascar
African Region,Malawi
Western Pacific Region,Malaysia
South-East Asia Region,Maldives
African Region,Mali
European Region,Malta
Western Pacific Region,Marshall Islands
African Region,Mauritania
African Region,Mauritius
Region of the Americas,Mexico
Western Pacific Region,Micronesia (Federated States of)
European Region,Monaco
Western Pacific Region,Mongolia
European Region,Montenegro
Eastern Mediterranean Region,Morocco
African Region,Mozambique
South-East Asia Region,Myanmar
African Region,Namibia
Western Pacific Region,Nauru
South-East Asia Region,Nepal
European Region,Netherlands (Kingdom of the)
Western Pacific Region,New Zealand
Region of the Americas,Nicaragua
African Region,Niger
African Region,Nigeria
Western Pacific Region,Niue
European Region,North Macedonia
European Region,Norway
Eastern Mediterranean Region,Oman
Eastern Mediterranean Region,Pakistan
Western Pacific Region,Palau
Region of the Americas,Panama
Western Pacific Region,Papua New Guinea
Region of the Americas,Paraguay
Region of the America,Peru
Western Pacific Region,Philippines
European Region,Poland
European Region,Portugal
Eastern Mediterranean Region,Qatar
Western Pacific Region,Republic of Korea
European Region,Republic of Moldova
European Region,Romania
European Region,Russian Federation
African Region,Rwanda
Region of the Americas,Saint Kitts and Nevis
Region of the Americas,Saint Lucia
Region of the Americas,Saint Vincent and the Grenadines
Western Pacific Region,Samoa
European Region,San Marino
African Region,Sao Tome and Principe
Eastern Mediterranean Region,Saudi Arabia
African Region,Senegal
European Region,Serbia
African Region,Seychelles
African Region,Sierra Leone
Western Pacific Region,Singapore
European Region,Slovakia
European Region,Slovenia
Western Pacific Region,Solomon Islands
Eastern Mediterranean Region,Somalia
African Region,South Africa
African Region,South Sudan
European Region,Spain
South-East Asia Region,Sri Lanka
Eastern Mediterranean Region,Sudan
Region of the Americas,Suriname
European Region,Sweden
European Region,Switzerland
Eastern Mediterranean Region,Syrian Arab Republic
European Region,Tajikistan
South-East Asia Region,Thailand
South-East Asia Region,Timor-Leste
African Region,Togo
Western Pacific Region,Tonga
Region of the Americas,Trinidad and Tobago
Eastern Mediterranean Region,Tunisia
European Region,Türkiye
European Region,Turkmenistan
Western Pacific Region,Tuvalu
African Region,Uganda
European Region,Ukraine
Eastern Mediterranean Region,United Arab Emirates
European Region,United Kingdom of Great Britain and Northern Ireland
African Region,United Republic of Tanzania
Region of the Americas,United States of America
Region of the Americas,Uruguay
European Region,Uzbekistan
Western Pacific Region,Vanuatu
Region of the Americas,Venezuela (Bolivarian Republic of)
Western Pacific Region,Viet Nam
Eastern Mediterranean Region,Yemen
African Region,Zambia
African Region,Zimbabwe
